,loss,host,protocol,start_time
113,0.0012281994595922379,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 06:40:59.627255000 EST"
114,0.0019320767678502426,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 11:55:31.081915000 EST"
115,2.90018996244254e-05,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 21:29:09.129678000 EST"
116,0.0003924050632911392,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 08:50:49.805459000 EST"
117,1.4077963763321272e-05,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 20:10:43.323116000 EST"
118,0.016668787377528946,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 03:30:52.806317000 EST"
119,0.0001683048337148243,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 14:33:12.139581000 EST"
120,0.00013494730307814798,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 05:21:18.443313000 EST"
121,0.0002734839476813317,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 10:26:20.099309000 EST"
122,2.454108177088446e-05,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 11:20:27.054066000 EST"
123,4.186640430386636e-05,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 10:38:39.563360000 EST"
124,1.3008806962313486e-05,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 16:51:55.667330000 EST"
125,1.819041728817259e-05,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 00:40:50.110500000 EST"
126,0.00018393099959929319,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 15:46:29.431474000 EST"
127,0.00029141903407836525,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 07:48:30.106151000 EST"
128,0.0008387619873067352,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 03:54:09.813303000 EST"
129,0.001506208019539996,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 23:05:42.547869000 EST"
