,loss,host,protocol,start_time
0,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 01:43:17.318020000 EST"
1,0.009366727754021585,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 06:46:41.451952000 EST"
2,0.023094308608999383,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 02:21:37.512668000 EST"
3,0.0,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 17:31:45.911558000 EST"
4,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 09:23:05.944035000 EST"
5,0.0,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 08:30:51.792826000 EST"
6,0.0,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 17:22:04.730862000 EST"
7,4.2927666881305004e-05,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 08:00:40.040348000 EST"
8,0.00020610057708161583,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 23:39:13.994920000 EST"
9,0.007449909768173615,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 06:01:09.299818000 EST"
10,0.0,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 10:29:51.538985000 EST"
11,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 11:03:12.723046000 EST"
12,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 16:59:38.986815000 EST"
13,0.011203163246093014,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 04:52:38.659007000 EST"
14,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 05:26:30.119574000 EST"
15,2.3533841664313284e-05,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 15:37:13.888005000 EST"
16,0.0,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 02:16:01.576623000 EST"
17,3.4197387319608784e-05,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 19:40:15.988354000 EST"
18,0.0,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 23:15:17.130303000 EST"
19,0.00019115585574104753,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 10:56:13.722857000 EST"
20,0.014018920641145042,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 02:44:43.675461000 EST"
21,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 20:53:26.488468000 EST"
22,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 10:36:43.828577000 EST"
23,3.511852502194908e-05,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 22:29:42.225044000 EST"
24,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 02:09:25.897788000 EST"
25,0.0,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 01:15:30.291804000 EST"
