,0,0.1,0.25,0.5,0.75,0.9,1.0,mean,host,protocol,start_time
36,585.688,585.688,585.688,585.688,585.688,585.688,585.688,585.688,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 01:57:07.582536000 EST"
37,580.665,580.665,580.665,580.665,580.665,580.665,580.665,580.665,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 11:12:14.551573000 EST"
38,584.687,584.687,584.687,584.687,584.687,584.687,584.687,584.687,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 01:02:39.928016000 EST"
39,582.326,582.326,582.326,582.326,582.326,582.326,582.326,582.326,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 00:27:39.809630000 EST"
40,598.023,598.023,598.023,598.023,598.023,598.023,598.023,598.023,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 13:29:31.110566000 EST"
41,600.89,600.89,600.89,600.89,600.89,600.89,600.89,600.89,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 12:02:17.529303000 EST"
42,582.9290000000001,582.9290000000001,582.9290000000001,582.9290000000001,582.9290000000001,582.9290000000001,582.9290000000001,582.9290000000001,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 05:10:01.808071000 EST"
43,585.415,585.415,585.415,585.415,585.415,585.415,585.415,585.415,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 10:23:01.915088000 EST"
44,597.1619999999999,597.1619999999999,597.1619999999999,597.1619999999999,597.1619999999999,597.1619999999999,597.1619999999999,597.1619999999999,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 04:58:07.618583000 EST"
45,585.7470000000001,585.7470000000001,585.7470000000001,585.7470000000001,585.7470000000001,585.7470000000001,585.7470000000001,585.7470000000001,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 07:34:53.066882000 EST"
46,589.543,589.543,589.543,589.543,589.543,589.543,589.543,589.543,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 05:03:22.128433000 EST"
47,592.175,592.175,592.175,592.175,592.175,592.175,592.175,592.175,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 19:59:39.500900000 EST"
48,599.449,599.449,599.449,599.449,599.449,599.449,599.449,599.449,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 22:20:49.971743000 EST"
49,590.617,590.617,590.617,590.617,590.617,590.617,590.617,590.617,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 09:08:51.123119000 EST"
50,598.686,598.686,598.686,598.686,598.686,598.686,598.686,598.686,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 06:23:39.642945000 EST"
51,600.49,600.49,600.49,600.49,600.49,600.49,600.49,600.49,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 17:12:29.826861000 EST"
52,595.043,595.043,595.043,595.043,595.043,595.043,595.043,595.043,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 05:48:51.822081000 EST"
53,589.486,589.486,589.486,589.486,589.486,589.486,589.486,589.486,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 00:19:57.657800000 EST"
54,592.893,592.893,592.893,592.893,592.893,592.893,592.893,592.893,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 07:41:29.131713000 EST"
55,584.491,584.491,584.491,584.491,584.491,584.491,584.491,584.491,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 10:57:31.962122000 EST"
56,594.893,594.893,594.893,594.893,594.893,594.893,594.893,594.893,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 02:39:03.505412000 EST"
57,585.238,585.238,585.238,585.238,585.238,585.238,585.238,585.238,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 12:17:24.254467000 EST"
58,599.803,599.803,599.803,599.803,599.803,599.803,599.803,599.803,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 06:06:34.366164000 EST"
59,588.2810000000001,588.2810000000001,588.2810000000001,588.2810000000001,588.2810000000001,588.2810000000001,588.2810000000001,588.2810000000001,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 18:57:35.329985000 EST"
60,574.637,574.637,574.637,574.637,574.637,574.637,574.637,574.637,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 00:55:44.942989000 EST"
61,594.647,594.647,594.647,594.647,594.647,594.647,594.647,594.647,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 06:34:32.746629000 EST"
62,610.487,610.487,610.487,610.487,610.487,610.487,610.487,610.487,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 14:13:18.548218000 EST"
63,596.41,596.41,596.41,596.41,596.41,596.41,596.41,596.41,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 03:59:48.906627000 EST"
64,593.66,593.66,593.66,593.66,593.66,593.66,593.66,593.66,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 01:25:24.648983000 EST"
65,581.317,581.317,581.317,581.317,581.317,581.317,581.317,581.317,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 15:07:57.069140000 EST"
66,599.739,599.739,599.739,599.739,599.739,599.739,599.739,599.739,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 04:10:33.246076000 EST"
67,578.6790000000001,578.6790000000001,578.6790000000001,578.6790000000001,578.6790000000001,578.6790000000001,578.6790000000001,578.6790000000001,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 15:00:39.203348000 EST"
68,798.688,798.688,798.688,798.688,798.688,798.688,798.688,798.688,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 13:38:19.247721000 EST"
69,593.816,593.816,593.816,593.816,593.816,593.816,593.816,593.816,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 03:07:50.607913000 EST"
70,598.326,598.326,598.326,598.326,598.326,598.326,598.326,598.326,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 00:47:06.600384000 EST"
71,957.8729999999999,957.8729999999999,957.8729999999999,957.8729999999999,957.8729999999999,957.8729999999999,957.8729999999999,957.8729999999999,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 18:29:12.950505000 EST"
72,593.911,593.911,593.911,593.911,593.911,593.911,593.911,593.911,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 22:10:52.103822000 EST"
73,600.165,600.165,600.165,600.165,600.165,600.165,600.165,600.165,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 18:19:00.087562000 EST"
74,581.345,581.345,581.345,581.345,581.345,581.345,581.345,581.345,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 12:40:59.166687000 EST"
75,573.7379999999999,573.7379999999999,573.7379999999999,573.7379999999999,573.7379999999999,573.7379999999999,573.7379999999999,573.7379999999999,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 18:45:15.146691000 EST"
76,600.989,600.989,600.989,600.989,600.989,600.989,600.989,600.989,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 20:45:02.131714000 EST"
77,580.3660000000001,580.3660000000001,580.3660000000001,580.3660000000001,580.3660000000001,580.3660000000001,580.3660000000001,580.3660000000001,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 10:02:30.441661000 EST"
78,610.5129999999999,610.5129999999999,610.5129999999999,610.5129999999999,610.5129999999999,610.5129999999999,610.5129999999999,610.5129999999999,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 15:17:09.252666000 EST"
