,0,0.1,0.25,0.5,0.75,0.9,1.0,mean,host,protocol,start_time
0,579.645,605.7118,619.475,652.168,735.9069999999999,835.9264000000001,2320.0389999999998,691.2653638561171,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 02:35:01.866609000 EST"
1,583.52,625.323,640.281,679.1859999999999,759.473,864.7872,2240.606,715.4169775827081,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 06:20:31.838870000 EST"
2,586.172,1339.0683999999999,1599.536,1839.57,2149.554,2319.2842,4699.321,1854.5440391762627,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 10:33:19.053704000 EST"
3,583.913,719.8112,990.1355000000001,1568.76,2214.049,2564.7976,5669.214,1650.3996455007739,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 16:06:51.784383000 EST"
4,582.612,639.3137999999999,773.97775,1057.795,1400.1857499999999,1586.7982,3354.557,1112.1411676260566,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 00:09:31.128064000 EST"
5,582.922,666.6959999999999,766.8695000000001,1031.7535,1305.936,1537.664,3934.131,1070.4203959803076,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 13:05:17.201490000 EST"
6,571.422,611.3578,627.849,656.2845,710.1405,897.3337000000001,10869.524,760.3034320894839,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 10:40:35.547876000 EST"
7,580.341,624.4999,691.94,842.2149999999999,1092.0590000000002,1562.4396,4357.424,998.8237691118819,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 11:58:38.831634000 EST"
8,578.082,680.2037999999999,763.995,899.12,1241.89,1819.9166,3911.8599999999997,1109.6687429349397,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 07:31:11.500860000 EST"
9,582.554,728.3879,1186.8029999999999,1969.947,2316.69775,2601.8028000000013,6120.054,1819.6358365215694,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 20:49:33.940327000 EST"
10,581.779,611.7348000000001,623.4309999999999,652.9319999999999,694.9817499999999,897.0729,2414.297,695.3717046134755,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 06:37:07.743768000 EST"
